Artist,Score,Rank,Number Of Albums
drowningman,1198,851,4
andrew wk,1198,851,6
absu,1194,853,6
spectral voice,1191,854,1
subrosa,1190,855,4
burst,1179,856,5
bad omens,1173,857,3
dana dentata,1172,858,1
jonathan hulten,1171,859,1
skeletonwitch,1169,860,6
superheaven,1164,861,2
discharge,1155,862,7
vast,1151,863,8
pertubator,1149,864,5
raketkanon,1143,865,3
night verses,1141,866,3
cattle decapitation,1140,867,7
the 69 eyes,1135,868,13
statistics,1133,869,3
our lady peace,1129,870,10
brutus,1124,871,3
wolf alice,1120,872,3
the defiled,1118,873,2
the ocean,1113,874,8
goldie lookin chain,1109,875,4
pj harvey,1105,876,9
fire from the gods,1098,877,3
tau cross,1097,878,3
evanescence,1092,879,5
bloodbath,1090,880,6
sound of animals fighting,1088,881,3
charger,1085,882,2
buckcherry,1083,883,9
badly drawn boy,1082,884,6
health,1081,885,6
blakfish,1077,886,2
jamie lenman,1072,887,4
hexvessel,1071,888,5
this is hell,1070,889,5
rinoa,1069,890,1
candy,1058,891,2
sharptooth,1056,892,2
sacred reich,1055,893,5
the black queen,1052,894,2
the hotelier,1050,895,3
purson,1049,896,2
the shins,1048,897,5
the plight,1045,898,1
dhg,1043,899,5
einsturzende neubauten,1041,900,12
hope of the states,1040,901,2
the meads of asphodel,1039,902,6
spiritualized,1037,903,9
primal scream,1036,904,11
spanish love songs,1033,905,3
spielbergs,1032,906,2
bleeding through,1028,907,8
the hidden hand,1021,908,3
mindless self indulgence,1021,908,5
hands like houses,1020,910,4
we are scientists,1018,911,8
brides of destruction,1017,912,2
interpol,1015,913,7
coldplay,1013,914,9
ken mode,1012,915,8
atlantean kodex,1009,916,3
too close to touch,1006,917,2
biters,1005,918,2
being as an ocean,1004,919,5
allison weiss,1003,920,3
iced earth,1002,921,13
destroy rebuild until god shows,1001,922,2
prince,1000,923,1
philip lynott,1000,923,1
bob dylan and the band,1000,923,1
meat loaf,1000,923,1
joy division,1000,923,1
assuck,1000,923,1
journey,1000,923,1
nick cave and the bad seeds,1000,923,1
johnny cash,1000,923,1
buffalo springfield,1000,923,1
john fogerty,1000,923,1
blackfoot,1000,923,1
joe jackson,1000,923,1
3 colours red,1000,923,1
joe cocker,1000,923,1
oasis,1000,923,1
jimmy page and robert plant,1000,923,1
mother love bone,1000,923,1
jeff lynne,1000,923,1
leaf hound,1000,923,1
jeff buckley,1000,923,1
boz scaggs,1000,923,1
jawbox,1000,923,1
blood sweat and tears,1000,923,1
janis joplin,1000,923,1
backyard babies,1000,923,1
jackson browne,1000,923,1
annihilator,1000,923,1
iron butterfly,1000,923,1
ratt,1000,923,1
raging slab,1000,923,1
paul butterfield blues man,1000,923,1
in the woods,1000,923,1
nofx,1000,923,1
husker du,1000,923,1
nailbomb,1000,923,1
helmet,1000,923,1
"mike bloomfield, al kooper and stephen stills",1000,923,1
quireboys,1000,923,1
love,1000,923,1
hellhammer,1000,923,1
kid rock,1000,923,1
heart,1000,923,1
bruce dickinson,1000,923,1
hawkwind,1000,923,1
boo-yaa tribe,1000,923,1
hanoi rocks,1000,923,1
blue cheers,1000,923,1
hammerfall,1000,923,1
blind melon,1000,923,1
gwar,1000,923,1
big brother and the holding company,1000,923,1
grand funk railroad,1000,923,1
babes in toyland,1000,923,1
godsmack,1000,923,1
quicksilver messenger service,1000,923,1
god,1000,923,1
karma to burn,1000,923,1
girlschool,1000,923,1
q5,1000,923,1
girls against boys,1000,923,1
pleymo,1000,923,1
girl,1000,923,1
pete townshend,1000,923,1
get up kids,1000,923,1
operation ivy,1000,923,1
germs,1000,923,1
nuclear assault,1000,923,1
george harrison,1000,923,1
no one is innocent,1000,923,1
gary moore,1000,923,1
new bomb turks,1000,923,1
garbage,1000,923,1
mudhoney,1000,923,1
fudge tunnel,1000,923,1
moby grape,1000,923,1
free,1000,923,1
mick jagger,1000,923,1
foreigner,1000,923,1
mass hysteria,1000,923,1
flying burrito brothers,1000,923,1
lindsey buckingham,1000,923,1
flotsam and jetsam,1000,923,1
kings x,1000,923,1
flipper,1000,923,1
burning heads,1000,923,1
fishbone,1000,923,1
bryan adams,1000,923,1
fight,1000,923,1
brad,1000,923,1
fields of the nephilim,1000,923,1
boston,1000,923,1
fastway,1000,923,1
bob seger,1000,923,1
faster pussycat,1000,923,1
bluesbreakers,1000,923,1
extreme noise terror,1000,923,1
bloodhound gang,1000,923,1
extreme,1000,923,1
blondie,1000,923,1
emerson lake and palmer,1000,923,1
blind faith,1000,923,1
dub war,1000,923,1
billy squier,1000,923,1
dri,1000,923,1
beck,1000,923,1
downset,1000,923,1
bachman turner overdrive,1000,923,1
down by law,1000,923,1
avail,1000,923,1
donovan,1000,923,1
asia,1000,923,1
dokken,1000,923,1
anvil,1000,923,1
quiet riot,1000,923,1
angel witch,1000,923,1
angel,1000,923,1
all,1000,923,1
acrimony,1000,923,1
dio,1000,923,1
quicksand,1000,923,1
dinosaur jr,1000,923,1
reef,1000,923,1
diamond head,1000,923,1
poison idea,1000,923,1
deus,1000,923,1
plasmatics,1000,923,1
derek and the dominoes,1000,923,1
phil collins,1000,923,1
depeche mode,1000,923,1
paw,1000,923,1
delaney and bonnie,1000,923,1
panasonic,1000,923,1
death angel,1000,923,1
onslaught,1000,923,1
deadguy,1000,923,1
